X,Y,Y_noise
4.25,-0.894989358,-0.810404296
2.98,0.160890315,0.202718724
0.06,0.059964006,0.078160399
0.43,0.416870802,0.454271752
3.44,-0.293998312,-0.224300752
4.26,-0.89940541,-0.82046222
4.55,-0.986843859,-0.890559988
6.07,-0.211574166,-0.149966383
5.56,-0.661776055,-0.619733595
4.47,-0.970767337,-0.928873725
2.99,0.151012712,0.20882637
5.96,-0.317588566,-0.270580306
0.85,0.751280405,0.850669382
2.68,0.445374645,0.453919285
0.77,0.696135239,0.731177387
5.9,-0.373876665,-0.278875552
5.8,-0.464602179,-0.397426202
5.88,-0.392350224,-0.361227212
6.05,-0.231077788,-0.215412537
0.56,0.531186198,0.578599846
0.01,0.009999833,0.037467025
2.84,0.297041351,0.345336232
0.34,0.333487092,0.419806045
0.05,0.049979169,0.087785171
2.9,0.239249329,0.310316395
1.17,0.920750598,0.944912874
2.47,0.622233555,0.691906105
5.58,-0.646650672,-0.642881071
5.4,-0.772764488,-0.72878981
0.56,0.531186198,0.591851428
4.82,-0.99421552,-0.923216229
